km,year,powerPS,avgPrice
90000,2002,180,6261.23
100000,2002,180,7132.61
125000,2002,180,6333.67
150000,2002,180,4471.56
90000,2002,200,8052.85
100000,2002,200,6006.60
125000,2002,200,6374.68
150000,2002,200,4325.33
125000,2002,220,8150.41
150000,2002,220,5436.07
125000,2002,240,10355.39
150000,2002,240,7159.01
150000,2002,260,8230.27
150000,2002,280,6388.96
125000,2002,300,14871.00
150000,2002,300,10067.57
125000,2003,40,2207.90
150000,2003,40,1998.08
50000,2003,60,2364.89
60000,2003,60,2247.64
70000,2003,60,2198.23
80000,2003,60,2127.91
90000,2003,60,2211.53
100000,2003,60,2052.82
125000,2003,60,1796.10
150000,2003,60,1554.36
5000,2003,80,2311.75
40000,2003,80,4058.53
60000,2003,80,3468.34
70000,2003,80,3108.16
80000,2003,80,3000.77
90000,2003,80,2658.42
100000,2003,80,2673.87
125000,2003,80,2468.94
150000,2003,80,1924.79
5000,2003,100,2610.72
60000,2003,100,6220.53
70000,2003,100,3277.37
80000,2003,100,3156.41
90000,2003,100,3333.85
100000,2003,100,3082.08
125000,2003,100,2838.81
150000,2003,100,2634.10
60000,2003,120,5355.69
70000,2003,120,4451.22
80000,2003,120,4139.92
90000,2003,120,4498.82
100000,2003,120,4384.54
125000,2003,120,3675.32
150000,2003,120,2800.73
5000,2003,140,2742.19
70000,2003,140,5588.73
80000,2003,140,5819.41
90000,2003,140,4700.15
100000,2003,140,4866.33
125000,2003,140,4387.18
150000,2003,140,3295.26
80000,2003,160,7361.64
90000,2003,160,6624.90
100000,2003,160,6759.27
125000,2003,160,6120.70
150000,2003,160,4383.81
90000,2003,180,7830.71
100000,2003,180,7117.15
125000,2003,180,7555.86
150000,2003,180,5240.23
80000,2003,200,10302.50
90000,2003,200,9559.69
100000,2003,200,9562.41
125000,2003,200,7996.19
150000,2003,200,5430.19
125000,2003,220,8550.18
150000,2003,220,6376.46
100000,2003,240,12336.18
125000,2003,240,10957.13
150000,2003,240,8310.24
150000,2003,260,8014.53
150000,2003,280,7592.43
125000,2003,300,14982.00
150000,2003,300,10554.71
125000,2004,40,2194.89
150000,2004,40,1977.18
40000,2004,60,2758.43
50000,2004,60,2846.42
60000,2004,60,2662.29
70000,2004,60,2573.36
80000,2004,60,2588.57
90000,2004,60,2308.86
100000,2004,60,2269.50
125000,2004,60,2079.76
150000,2004,60,1827.63
40000,2004,80,4316.42
50000,2004,80,3287.53
60000,2004,80,4279.81
70000,2004,80,3932.62
80000,2004,80,3619.33
90000,2004,80,3321.38
100000,2004,80,3054.11
125000,2004,80,2797.05
150000,2004,80,2527.43
5000,2004,100,3449.91
30000,2004,100,3968.64
50000,2004,100,3862.26
60000,2004,100,4381.08
70000,2004,100,4203.28
80000,2004,100,4533.80
90000,2004,100,4377.60
100000,2004,100,3956.94
125000,2004,100,3409.19
150000,2004,100,3203.31
5000,2004,120,2649.81
60000,2004,120,4858.86
70000,2004,120,5669.85
80000,2004,120,5068.63
90000,2004,120,5071.52
100000,2004,120,5325.48
125000,2004,120,4502.78
150000,2004,120,3309.02
5000,2004,140,3246.36
60000,2004,140,6460.81
70000,2004,140,5898.58
80000,2004,140,5633.40
90000,2004,140,5425.93
100000,2004,140,5522.37
125000,2004,140,5183.41
150000,2004,140,4065.94
70000,2004,160,9642.95
80000,2004,160,8114.75
90000,2004,160,8322.18
100000,2004,160,7938.83
125000,2004,160,6626.29
150000,2004,160,5088.20
80000,2004,180,10301.10
90000,2004,180,8678.32
100000,2004,180,8424.90
125000,2004,180,8187.33
150000,2004,180,6465.79
100000,2004,200,9393.25
125000,2004,200,7175.19
150000,2004,200,6680.41
125000,2004,220,10594.70
150000,2004,220,7941.35
100000,2004,240,9983.31
125000,2004,240,10668.98
150000,2004,240,8929.76
125000,2004,260,10126.56
150000,2004,260,8411.23
125000,2004,280,11909.67
150000,2004,280,10002.09
150000,2004,300,10769.45
150000,2004,320,17815.19
125000,2005,40,2498.85
150000,2005,40,1884.65
40000,2005,60,3727.44
50000,2005,60,3273.42
60000,2005,60,3253.07
70000,2005,60,2841.08
80000,2005,60,2546.23
90000,2005,60,2649.49
100000,2005,60,2470.70
125000,2005,60,2262.44
150000,2005,60,1986.88
30000,2005,80,4750.00
40000,2005,80,3788.18
50000,2005,80,3587.34
60000,2005,80,4148.91
70000,2005,80,3688.09
80000,2005,80,4001.84
90000,2005,80,3509.81
100000,2005,80,3431.52
125000,2005,80,3148.19
150000,2005,80,2749.76
5000,2005,100,3338.26
20000,2005,100,4375.00
30000,2005,100,6670.56
40000,2005,100,5206.48
50000,2005,100,5199.71
60000,2005,100,4656.73
70000,2005,100,4570.19
80000,2005,100,4738.06
90000,2005,100,4452.50
100000,2005,100,4423.92
125000,2005,100,4204.51
150000,2005,100,3557.96
5000,2005,120,3643.88
30000,2005,120,4856.57
50000,2005,120,7075.05
60000,2005,120,6730.61
70000,2005,120,6485.97
80000,2005,120,5733.85
90000,2005,120,5765.08
100000,2005,120,5278.78
125000,2005,120,4992.42
150000,2005,120,3974.50
5000,2005,140,4549.27
50000,2005,140,7451.45
60000,2005,140,7240.67
70000,2005,140,7202.27
80000,2005,140,6895.19
90000,2005,140,6182.59
100000,2005,140,6168.48
125000,2005,140,5625.00
150000,2005,140,4909.16
60000,2005,160,9280.40
70000,2005,160,9478.04
80000,2005,160,10418.32
90000,2005,160,8696.12
100000,2005,160,8318.32
125000,2005,160,7516.83
150000,2005,160,5954.69
90000,2005,180,10382.53
100000,2005,180,10079.00
125000,2005,180,8768.89
150000,2005,180,7552.10
90000,2005,200,9368.75
100000,2005,200,8662.68
125000,2005,200,8825.39
150000,2005,200,7220.38
80000,2005,220,10675.64
90000,2005,220,10941.46
100000,2005,220,10096.00
125000,2005,220,10593.36
150000,2005,220,8797.02
90000,2005,240,18863.21
100000,2005,240,12007.07
125000,2005,240,11440.73
150000,2005,240,9270.30
125000,2005,260,10514.35
150000,2005,260,9519.40
80000,2005,280,13519.00
100000,2005,280,13516.75
125000,2005,280,13219.41
150000,2005,280,10466.67
150000,2005,300,11980.69
125000,2006,40,3169.62
150000,2006,40,2580.82
40000,2006,60,4327.65
50000,2006,60,3983.67
60000,2006,60,3212.92
70000,2006,60,3198.24
80000,2006,60,3077.95
90000,2006,60,2911.92
100000,2006,60,2884.81
125000,2006,60,2748.91
150000,2006,60,2385.53
5000,2006,80,3054.36
20000,2006,80,4519.67
30000,2006,80,5969.00
40000,2006,80,5420.00
50000,2006,80,5033.89
60000,2006,80,4912.61
70000,2006,80,4234.77
80000,2006,80,4095.11
90000,2006,80,4052.15
100000,2006,80,3862.29
125000,2006,80,3833.27
150000,2006,80,3150.67
20000,2006,100,4177.14
40000,2006,100,5959.04
50000,2006,100,6714.48
60000,2006,100,5429.72
70000,2006,100,5637.61
80000,2006,100,5547.84
90000,2006,100,5544.77
100000,2006,100,5216.38
125000,2006,100,4713.32
150000,2006,100,4375.53
40000,2006,120,8420.39
50000,2006,120,7292.29
60000,2006,120,7426.78
70000,2006,120,6722.08
80000,2006,120,6792.00
90000,2006,120,6760.42
100000,2006,120,6534.44
125000,2006,120,6032.62
150000,2006,120,5097.44
5000,2006,140,4912.69
20000,2006,140,7997.42
40000,2006,140,7249.07
50000,2006,140,8149.27
60000,2006,140,8726.59
70000,2006,140,9132.97
80000,2006,140,7541.41
90000,2006,140,7523.77
100000,2006,140,7004.19
125000,2006,140,6690.21
150000,2006,140,5648.69
60000,2006,160,11425.83
70000,2006,160,10389.95
80000,2006,160,10075.45
90000,2006,160,9681.62
100000,2006,160,9670.37
125000,2006,160,8084.35
150000,2006,160,6694.71
70000,2006,180,11954.53
80000,2006,180,10491.93
90000,2006,180,10668.37
100000,2006,180,9726.51
125000,2006,180,9223.90
150000,2006,180,7916.00
60000,2006,200,12351.67
70000,2006,200,11896.82
80000,2006,200,10568.47
90000,2006,200,10630.67
100000,2006,200,10420.58
125000,2006,200,9358.97
150000,2006,200,9006.89
80000,2006,220,13354.47
90000,2006,220,14084.21
100000,2006,220,12254.30
125000,2006,220,12995.58
150000,2006,220,10967.51
70000,2006,240,16867.85
90000,2006,240,14140.00
100000,2006,240,13334.87
125000,2006,240,13707.93
150000,2006,240,11344.91
80000,2006,260,14602.85
90000,2006,260,14494.47
100000,2006,260,14189.77
125000,2006,260,13738.61
150000,2006,260,10916.60
125000,2006,280,15037.58
150000,2006,280,12350.98
90000,2006,300,21250.00
100000,2006,300,16964.31
125000,2006,300,17506.47
125000,2007,40,3656.67
150000,2007,40,3707.54
20000,2007,60,5323.08
30000,2007,60,4376.85
40000,2007,60,3596.93
50000,2007,60,3749.64
60000,2007,60,3664.73
70000,2007,60,3308.10
80000,2007,60,3558.68
90000,2007,60,3363.36
100000,2007,60,3244.38
125000,2007,60,3076.16
150000,2007,60,2698.90
30000,2007,80,5345.62
40000,2007,80,5461.13
50000,2007,80,4992.97
60000,2007,80,4693.87
70000,2007,80,5111.25
80000,2007,80,4666.58
90000,2007,80,4423.15
100000,2007,80,4079.93
125000,2007,80,4156.20
150000,2007,80,3487.44
30000,2007,100,7788.40
40000,2007,100,7132.76
50000,2007,100,6389.66
60000,2007,100,6456.68
70000,2007,100,6377.38
80000,2007,100,6323.25
90000,2007,100,5927.26
100000,2007,100,6106.32
125000,2007,100,5622.07
150000,2007,100,4922.69
40000,2007,120,9205.71
50000,2007,120,7874.32
60000,2007,120,7895.88
70000,2007,120,8729.20
80000,2007,120,7462.24
90000,2007,120,7800.52
100000,2007,120,6687.49
125000,2007,120,6566.51
150000,2007,120,5512.08
5000,2007,140,5648.91
20000,2007,140,7894.08
50000,2007,140,8741.00
60000,2007,140,9108.09
70000,2007,140,8181.08
80000,2007,140,9158.75
90000,2007,140,8492.07
100000,2007,140,8281.91
125000,2007,140,8015.06
150000,2007,140,6678.96
50000,2007,160,10130.81
60000,2007,160,11396.88
70000,2007,160,10963.21
80000,2007,160,11004.49
90000,2007,160,10499.35
100000,2007,160,9599.22
125000,2007,160,9167.89
150000,2007,160,7567.41
60000,2007,180,13255.68
70000,2007,180,10898.81
80000,2007,180,11844.51
90000,2007,180,11664.94
100000,2007,180,12172.08
125000,2007,180,10789.10
150000,2007,180,8924.56
70000,2007,200,15477.41
80000,2007,200,12425.32
90000,2007,200,14117.14
100000,2007,200,12899.86
125000,2007,200,11873.76
150000,2007,200,10492.11
70000,2007,220,13653.33
80000,2007,220,16776.06
90000,2007,220,15561.06
100000,2007,220,14754.89
125000,2007,220,14168.28
150000,2007,220,12606.33
60000,2007,240,22230.91
70000,2007,240,20822.92
80000,2007,240,16695.54
90000,2007,240,15539.29
100000,2007,240,15050.48
125000,2007,240,15725.79
150000,2007,240,13077.21
60000,2007,260,18703.45
80000,2007,260,17893.25
100000,2007,260,17430.61
125000,2007,260,14208.46
150000,2007,260,12553.97
100000,2007,280,18134.61
125000,2007,280,17941.77
150000,2007,280,14460.94
90000,2007,300,21941.29
100000,2007,300,17580.25
125000,2007,300,17089.26
150000,2007,300,16186.63
125000,2008,40,4335.57
150000,2008,40,4255.18
30000,2008,60,4571.71
40000,2008,60,4543.06
50000,2008,60,4436.95
60000,2008,60,4360.37
70000,2008,60,4062.67
80000,2008,60,3834.48
90000,2008,60,3893.19
100000,2008,60,3723.80
125000,2008,60,3515.68
150000,2008,60,2997.09
20000,2008,80,5094.45
30000,2008,80,5820.00
40000,2008,80,5645.24
50000,2008,80,5415.48
60000,2008,80,5460.16
70000,2008,80,5336.97
80000,2008,80,5166.38
90000,2008,80,4782.40
100000,2008,80,4714.05
125000,2008,80,4547.17
150000,2008,80,3955.22
20000,2008,100,7436.25
30000,2008,100,6248.89
40000,2008,100,6631.90
50000,2008,100,7162.81
60000,2008,100,7112.11
70000,2008,100,7072.13
80000,2008,100,6933.24
90000,2008,100,6609.56
100000,2008,100,6638.00
125000,2008,100,6159.47
150000,2008,100,5612.33
20000,2008,120,9421.55
30000,2008,120,9535.36
40000,2008,120,9556.52
50000,2008,120,8546.33
60000,2008,120,8958.92
70000,2008,120,8328.29
80000,2008,120,8025.97
90000,2008,120,7684.22
100000,2008,120,7340.57
125000,2008,120,7094.80
150000,2008,120,5988.97
20000,2008,140,9429.82
30000,2008,140,10484.00
50000,2008,140,9409.84
60000,2008,140,9416.67
70000,2008,140,11010.12
80000,2008,140,10490.17
90000,2008,140,9999.67
100000,2008,140,9628.85
125000,2008,140,9535.55
150000,2008,140,8344.96
50000,2008,160,13151.53
60000,2008,160,11958.13
70000,2008,160,11193.94
80000,2008,160,11649.27
90000,2008,160,11770.76
100000,2008,160,9781.78
125000,2008,160,10494.89
150000,2008,160,7968.08
40000,2008,180,15897.73
50000,2008,180,15701.93
60000,2008,180,15194.96
70000,2008,180,15606.63
80000,2008,180,13991.60
90000,2008,180,12150.87
100000,2008,180,12655.59
125000,2008,180,12718.40
150000,2008,180,10456.46
60000,2008,200,15549.09
70000,2008,200,15032.17
80000,2008,200,14851.66
90000,2008,200,14544.42
100000,2008,200,13723.26
125000,2008,200,14144.98
150000,2008,200,12410.96
80000,2008,220,20152.55
90000,2008,220,18512.25
100000,2008,220,17104.31
125000,2008,220,14881.73
150000,2008,220,13714.28
70000,2008,240,18992.94
80000,2008,240,16999.87
90000,2008,240,20903.83
100000,2008,240,14239.47
125000,2008,240,17511.05
150000,2008,240,14967.01
90000,2008,260,14464.48
100000,2008,260,16153.23
125000,2008,260,14768.09
150000,2008,260,14150.67
100000,2008,280,17044.14
125000,2008,280,19923.62
150000,2008,280,18298.55
80000,2008,300,23736.11
90000,2008,300,22224.68
100000,2008,300,22482.38
125000,2008,300,21354.34
20000,2009,60,5377.73
30000,2009,60,5178.89
40000,2009,60,4615.43
50000,2009,60,4626.02
60000,2009,60,4728.39
70000,2009,60,4628.67
80000,2009,60,4384.74
90000,2009,60,4249.97
100000,2009,60,4059.80
125000,2009,60,3902.66
150000,2009,60,3347.94
20000,2009,80,5682.91
30000,2009,80,5989.04
40000,2009,80,6198.02
50000,2009,80,6735.53
60000,2009,80,6153.28
70000,2009,80,5767.68
80000,2009,80,5831.71
90000,2009,80,5479.22
100000,2009,80,5336.77
125000,2009,80,5026.45
150000,2009,80,4296.72
20000,2009,100,7372.60
30000,2009,100,8316.31
40000,2009,100,7590.04
50000,2009,100,7606.28
60000,2009,100,7704.67
70000,2009,100,7181.96
80000,2009,100,7253.59
90000,2009,100,7194.90
100000,2009,100,7202.15
125000,2009,100,6862.49
150000,2009,100,6066.12
30000,2009,120,11219.94
40000,2009,120,10423.31
50000,2009,120,9174.99
60000,2009,120,9511.51
70000,2009,120,9416.15
80000,2009,120,9569.14
90000,2009,120,9236.05
100000,2009,120,8457.80
125000,2009,120,8322.62
150000,2009,120,7190.14
40000,2009,140,11850.41
50000,2009,140,12922.33
60000,2009,140,11790.73
70000,2009,140,11461.17
80000,2009,140,11301.60
90000,2009,140,11648.82
100000,2009,140,11703.40
125000,2009,140,10884.80
150000,2009,140,9450.42
40000,2009,160,14258.86
50000,2009,160,13809.12
60000,2009,160,12522.30
70000,2009,160,12385.89
80000,2009,160,13155.70
90000,2009,160,11915.30
100000,2009,160,11981.06
125000,2009,160,10250.42
150000,2009,160,9242.39
40000,2009,180,18067.17
50000,2009,180,16969.35
60000,2009,180,16564.06
70000,2009,180,15793.19
80000,2009,180,15456.88
90000,2009,180,15748.97
100000,2009,180,14320.15
125000,2009,180,13326.80
150000,2009,180,12380.88
50000,2009,200,18764.50
60000,2009,200,18022.88
70000,2009,200,15821.97
80000,2009,200,16381.32
90000,2009,200,15444.05
100000,2009,200,15944.45
125000,2009,200,16521.31
150000,2009,200,13791.45
50000,2009,220,21423.86
60000,2009,220,18953.94
70000,2009,220,19162.18
80000,2009,220,17643.97
90000,2009,220,19023.83
100000,2009,220,17270.35
125000,2009,220,16179.62
150000,2009,220,16213.86
50000,2009,240,24726.27
60000,2009,240,15802.41
70000,2009,240,20329.00
80000,2009,240,25174.39
90000,2009,240,28350.53
100000,2009,240,20550.25
125000,2009,240,20467.58
150000,2009,240,17795.44
100000,2009,260,19088.85
125000,2009,260,15352.59
150000,2009,260,15835.31
80000,2009,280,24326.36
100000,2009,280,24257.38
125000,2009,280,23198.54
150000,2009,280,21219.95
80000,2009,300,23599.76
100000,2009,300,24816.00
125000,2009,300,23402.06
20000,2010,60,6217.41
30000,2010,60,5741.51
40000,2010,60,5800.34
50000,2010,60,5773.11
60000,2010,60,5375.20
70000,2010,60,5288.73
80000,2010,60,5144.41
90000,2010,60,5199.29
100000,2010,60,4620.20
125000,2010,60,4345.23
150000,2010,60,3743.69
20000,2010,80,7011.77
30000,2010,80,6719.63
40000,2010,80,6913.59
50000,2010,80,6793.12
60000,2010,80,6666.77
70000,2010,80,6956.61
80000,2010,80,6615.68
90000,2010,80,6108.91
100000,2010,80,5867.83
125000,2010,80,5751.82
150000,2010,80,5283.01
20000,2010,100,10468.80
30000,2010,100,10026.43
40000,2010,100,8928.00
50000,2010,100,8978.86
60000,2010,100,9438.20
70000,2010,100,9120.01
80000,2010,100,9327.55
90000,2010,100,8790.64
100000,2010,100,8694.86
125000,2010,100,7901.77
150000,2010,100,7194.27
20000,2010,120,12132.50
30000,2010,120,11088.32
40000,2010,120,12917.48
50000,2010,120,11236.63
60000,2010,120,11443.52
70000,2010,120,10625.92
80000,2010,120,10515.55
90000,2010,120,10775.34
100000,2010,120,10069.57
125000,2010,120,8740.89
150000,2010,120,7536.57
20000,2010,140,12233.45
30000,2010,140,13446.36
40000,2010,140,13977.27
50000,2010,140,13762.14
60000,2010,140,13038.20
70000,2010,140,13868.33
80000,2010,140,13963.30
90000,2010,140,13871.97
100000,2010,140,13009.70
125000,2010,140,12709.77
150000,2010,140,10770.70
30000,2010,160,13182.08
40000,2010,160,15202.68
50000,2010,160,15023.98
60000,2010,160,14775.24
70000,2010,160,14086.25
80000,2010,160,13889.73
90000,2010,160,12661.45
100000,2010,160,11600.76
125000,2010,160,12067.18
150000,2010,160,10430.78
30000,2010,180,13718.45
40000,2010,180,18099.35
50000,2010,180,19654.80
60000,2010,180,19452.65
70000,2010,180,17372.83
80000,2010,180,18145.93
90000,2010,180,17569.47
100000,2010,180,16907.39
125000,2010,180,17290.24
150000,2010,180,14770.81
40000,2010,200,20374.86
50000,2010,200,21245.82
60000,2010,200,18835.16
70000,2010,200,20271.00
80000,2010,200,20135.93
90000,2010,200,15461.73
100000,2010,200,20442.83
125000,2010,200,18258.95
150000,2010,200,15730.23
40000,2010,220,21177.81
50000,2010,220,19252.29
60000,2010,220,18021.87
70000,2010,220,21442.48
80000,2010,220,17432.58
90000,2010,220,17500.92
100000,2010,220,18013.76
125000,2010,220,16927.98
150000,2010,220,16404.69
60000,2010,240,20601.26
70000,2010,240,27042.41
80000,2010,240,27696.43
90000,2010,240,26683.36
100000,2010,240,25821.14
125000,2010,240,23871.38
150000,2010,240,21247.04
50000,2010,260,24599.15
80000,2010,260,18410.55
90000,2010,260,17986.42
125000,2010,260,20017.40
150000,2010,260,17145.75
70000,2010,280,22866.42
90000,2010,280,21937.46
125000,2010,280,27739.50
150000,2010,280,20393.96
70000,2010,300,27299.79
90000,2010,300,25940.67
125000,2010,300,26834.15
150000,2010,300,24542.74
70000,2010,320,32218.09
20000,2011,60,6848.91
30000,2011,60,7017.09
40000,2011,60,6108.62
50000,2011,60,6113.31
60000,2011,60,5978.69
70000,2011,60,6075.69
80000,2011,60,5481.21
90000,2011,60,5206.42
100000,2011,60,4953.22
125000,2011,60,4837.60
150000,2011,60,4119.93
20000,2011,80,7221.69
30000,2011,80,7824.52
40000,2011,80,7983.91
50000,2011,80,7548.49
60000,2011,80,7541.73
70000,2011,80,7395.72
80000,2011,80,7222.37
90000,2011,80,7365.77
100000,2011,80,5806.19
125000,2011,80,6594.88
150000,2011,80,6050.97
20000,2011,100,11723.91
30000,2011,100,11034.65
40000,2011,100,11331.06
50000,2011,100,9998.93
60000,2011,100,10259.11
70000,2011,100,9998.13
80000,2011,100,10055.12
90000,2011,100,9905.63
100000,2011,100,9394.76
125000,2011,100,9102.39
150000,2011,100,8144.28
20000,2011,120,14027.41
30000,2011,120,13470.15
40000,2011,120,12931.78
50000,2011,120,12518.01
60000,2011,120,11929.51
70000,2011,120,12088.02
80000,2011,120,12280.01
90000,2011,120,10814.83
100000,2011,120,10980.75
125000,2011,120,9927.48
150000,2011,120,9303.34
30000,2011,140,16236.16
40000,2011,140,15633.59
50000,2011,140,15177.77
60000,2011,140,15431.81
70000,2011,140,15080.04
80000,2011,140,15123.41
90000,2011,140,14889.26
100000,2011,140,13718.92
125000,2011,140,14298.45
150000,2011,140,11634.81
30000,2011,160,11646.99
40000,2011,160,12972.65
50000,2011,160,16298.92
60000,2011,160,15954.85
70000,2011,160,15642.16
80000,2011,160,15232.01
90000,2011,160,14830.89
100000,2011,160,15117.48
125000,2011,160,13273.13
150000,2011,160,10699.83
20000,2011,180,20037.50
30000,2011,180,20360.96
40000,2011,180,20847.18
50000,2011,180,20298.39
60000,2011,180,20241.59
70000,2011,180,19432.39
80000,2011,180,18785.43
90000,2011,180,19346.74
100000,2011,180,18717.68
125000,2011,180,17824.79
150000,2011,180,15725.39
30000,2011,200,24339.91
40000,2011,200,24145.13
50000,2011,200,16079.90
60000,2011,200,21948.28
70000,2011,200,20933.63
80000,2011,200,21738.48
90000,2011,200,21642.31
100000,2011,200,21872.12
125000,2011,200,20826.49
150000,2011,200,18018.91
40000,2011,220,20400.17
50000,2011,220,21458.44
60000,2011,220,19672.95
70000,2011,220,22056.81
80000,2011,220,21714.08
90000,2011,220,20541.28
100000,2011,220,21410.04
125000,2011,220,17962.26
150000,2011,220,19691.41
40000,2011,240,28242.07
50000,2011,240,28111.13
60000,2011,240,18860.12
70000,2011,240,29482.26
80000,2011,240,26835.57
90000,2011,240,21427.11
100000,2011,240,28034.34
125000,2011,240,23137.46
150000,2011,240,23036.55
40000,2011,260,30393.31
50000,2011,260,21478.29
60000,2011,260,26113.95
70000,2011,260,26512.50
80000,2011,260,29306.50
90000,2011,260,26245.96
100000,2011,260,26429.61
125000,2011,260,28766.00
150000,2011,260,25757.81
50000,2011,300,30903.55
60000,2011,300,30761.79
70000,2011,300,31653.50
80000,2011,300,25227.39
90000,2011,300,30671.00
100000,2011,300,27972.86
125000,2011,300,30082.35
10000,2012,60,8134.36
20000,2012,60,7151.66
30000,2012,60,6900.60
40000,2012,60,6730.79
50000,2012,60,6871.89
60000,2012,60,6375.97
70000,2012,60,6304.24
80000,2012,60,6299.63
90000,2012,60,5856.58
100000,2012,60,5583.22
125000,2012,60,4982.26
10000,2012,80,10277.44
20000,2012,80,8624.68
30000,2012,80,8240.03
40000,2012,80,8519.85
50000,2012,80,8385.35
60000,2012,80,7656.53
70000,2012,80,7966.05
80000,2012,80,7604.31
90000,2012,80,7610.78
100000,2012,80,7657.00
125000,2012,80,6071.50
150000,2012,80,5862.27
20000,2012,100,12703.14
30000,2012,100,12043.55
40000,2012,100,11608.84
50000,2012,100,11412.02
60000,2012,100,11608.30
70000,2012,100,11932.89
80000,2012,100,10735.85
90000,2012,100,10807.68
100000,2012,100,11091.28
125000,2012,100,10940.49
150000,2012,100,9282.42
20000,2012,120,16412.95
30000,2012,120,14644.66
40000,2012,120,14317.43
50000,2012,120,13839.26
60000,2012,120,14085.08
70000,2012,120,13390.36
80000,2012,120,13134.69
90000,2012,120,12112.07
100000,2012,120,9609.52
125000,2012,120,11254.88
150000,2012,120,9829.15
20000,2012,140,17046.54
30000,2012,140,16617.19
40000,2012,140,17176.25
50000,2012,140,17523.86
60000,2012,140,17761.59
70000,2012,140,16617.31
80000,2012,140,16858.74
90000,2012,140,16620.59
100000,2012,140,16337.18
125000,2012,140,15071.21
150000,2012,140,12528.06
20000,2012,160,20185.24
30000,2012,160,18618.98
40000,2012,160,18035.42
50000,2012,160,17549.42
60000,2012,160,17172.52
70000,2012,160,16744.45
80000,2012,160,17676.14
90000,2012,160,15462.06
100000,2012,160,15615.88
125000,2012,160,15322.98
150000,2012,160,13562.27
20000,2012,180,26156.63
30000,2012,180,24282.90
40000,2012,180,22606.44
50000,2012,180,22314.29
60000,2012,180,23265.45
70000,2012,180,22641.00
80000,2012,180,20224.19
90000,2012,180,21131.08
100000,2012,180,21427.07
125000,2012,180,20707.78
150000,2012,180,16853.25
30000,2012,200,24642.00
40000,2012,200,26463.26
50000,2012,200,24459.28
60000,2012,200,18011.60
70000,2012,200,25478.41
80000,2012,200,24728.44
90000,2012,200,21441.68
100000,2012,200,22982.67
125000,2012,200,22869.90
150000,2012,200,19257.13
30000,2012,220,23336.18
40000,2012,220,24370.71
50000,2012,220,23768.88
60000,2012,220,23306.66
70000,2012,220,20630.35
80000,2012,220,20280.32
90000,2012,220,25295.74
